"ZIP
code [1]",Size of adjusted gross income,Number of returns
10065,"$75,000 under $100,000",1610
10065,"$100,000 under $200,000",3240
10065,"$200,000 or more",4460
,,
10069,,"2,890"
10069,"$1 under $25,000",370
10069,"$25,000 under $50,000",260
10069,"$50,000 under $75,000",240
10069,"$75,000 under $100,000",190
10069,"$100,000 under $200,000",580
10069,"$200,000 or more",1250
,,
10075,,"14,080"
10075,"$1 under $25,000",2160
10075,"$25,000 under $50,000",1600
10075,"$50,000 under $75,000",1960
10075,"$75,000 under $100,000",1560
10075,"$100,000 under $200,000",3110
10075,"$200,000 or more",3690
,,
10128,,"32,950"
10128,"$1 under $25,000",5890
10128,"$25,000 under $50,000",4300
10128,"$50,000 under $75,000",4920
10128,"$75,000 under $100,000",3600
10128,"$100,000 under $200,000",6500
10128,"$200,000 or more",7740
,,
10162,,750
10162,"$1 under $25,000",100
10162,"$25,000 under $50,000",50
10162,"$50,000 under $75,000",60
10162,"$75,000 under $100,000",60
10162,"$100,000 under $200,000",190
10162,"$200,000 or more",290
,,
10280,,"4,200"
10280,"$1 under $25,000",480
10280,"$25,000 under $50,000",360
10280,"$50,000 under $75,000",460
10280,"$75,000 under $100,000",400
10280,"$100,000 under $200,000",1140
10280,"$200,000 or more",1360
,,
10282,,"2,310"
10282,"$1 under $25,000",220
10282,"$25,000 under $50,000",140
10282,"$50,000 under $75,000",130
10282,"$75,000 under $100,000",130
10282,"$100,000 under $200,000",360
10282,"$200,000 or more",1330
,,
10301,,"18,080"
10301,"$1 under $25,000",6490
10301,"$25,000 under $50,000",3910
10301,"$50,000 under $75,000",2720
10301,"$75,000 under $100,000",1680
10301,"$100,000 under $200,000",2430
10301,"$200,000 or more",850
,,
10302,,"8,080"
10302,"$1 under $25,000",3220
10302,"$25,000 under $50,000",1860
10302,"$50,000 under $75,000",1160
10302,"$75,000 under $100,000",730
10302,"$100,000 under $200,000",960
10302,"$200,000 or more",150
,,
10303,,"12,170"
10303,"$1 under $25,000",5280
10303,"$25,000 under $50,000",2940
10303,"$50,000 under $75,000",1700
10303,"$75,000 under $100,000",1020
10303,"$100,000 under $200,000",1140
10303,"$200,000 or more",90
,,
10304,,"19,720"
10304,"$1 under $25,000",8240
10304,"$25,000 under $50,000",4420
10304,"$50,000 under $75,000",2400
10304,"$75,000 under $100,000",1520
10304,"$100,000 under $200,000",2250
10304,"$200,000 or more",890
,,
10305,,"19,300"
10305,"$1 under $25,000",6700
10305,"$25,000 under $50,000",4150
10305,"$50,000 under $75,000",2840
10305,"$75,000 under $100,000",2040
10305,"$100,000 under $200,000",2980
10305,"$200,000 or more",590
,,
10306,,"26,840"
10306,"$1 under $25,000",8250
10306,"$25,000 under $50,000",5130
10306,"$50,000 under $75,000",4030
10306,"$75,000 under $100,000",3000
10306,"$100,000 under $200,000",5120
10306,"$200,000 or more",1310
,,
10307,,"6,500"
10307,"$1 under $25,000",1790
10307,"$25,000 under $50,000",1090
10307,"$50,000 under $75,000",850
10307,"$75,000 under $100,000",710
10307,"$100,000 under $200,000",1470
10307,"$200,000 or more",590
,,
10308,,"13,620"
10308,"$1 under $25,000",3780
10308,"$25,000 under $50,000",2400
10308,"$50,000 under $75,000",1970
10308,"$75,000 under $100,000",1700
10308,"$100,000 under $200,000",3060
10308,"$200,000 or more",710
,,
10309,,"15,000"
10309,"$1 under $25,000",4100
10309,"$25,000 under $50,000",2550
10309,"$50,000 under $75,000",2080
10309,"$75,000 under $100,000",1690
10309,"$100,000 under $200,000",3470
10309,"$200,000 or more",1110
,,
10310,,"11,460"
10310,"$1 under $25,000",4370
10310,"$25,000 under $50,000",2330
10310,"$50,000 under $75,000",1490
10310,"$75,000 under $100,000",1070
10310,"$100,000 under $200,000",1760
10310,"$200,000 or more",440
,,
10312,,"29,230"
10312,"$1 under $25,000",7860
10312,"$25,000 under $50,000",5230
10312,"$50,000 under $75,000",4240
10312,"$75,000 under $100,000",3480
10312,"$100,000 under $200,000",6650
10312,"$200,000 or more",1770
,,
10314,,"40,740"
10314,"$1 under $25,000",12330
10314,"$25,000 under $50,000",8150
10314,"$50,000 under $75,000",6040
10314,"$75,000 under $100,000",4590
10314,"$100,000 under $200,000",7790
10314,"$200,000 or more",1840
,,
10451,,"23,290"
10451,"$1 under $25,000",12230
10451,"$25,000 under $50,000",6570
10451,"$50,000 under $75,000",2730
10451,"$75,000 under $100,000",1020
10451,"$100,000 under $200,000",690
10451,"$200,000 or more",50
,,
10452,,"36,200"
10452,"$1 under $25,000",21350
10452,"$25,000 under $50,000",9730
10452,"$50,000 under $75,000",3590
10452,"$75,000 under $100,000",960
10452,"$100,000 under $200,000",550
10452,"$200,000 or more",20
,,
10453,,"37,600"
10453,"$1 under $25,000",23280
10453,"$25,000 under $50,000",9690
10453,"$50,000 under $75,000",3160
10453,"$75,000 under $100,000",900
10453,"$100,000 under $200,000",540
10453,"$200,000 or more",30
,,
10454,,"15,840"
10454,"$1 under $25,000",9740
10454,"$25,000 under $50,000",4170
10454,"$50,000 under $75,000",1320
10454,"$75,000 under $100,000",350
10454,"$100,000 under $200,000",240
10454,"$200,000 or more",20
,,
10455,,"17,780"
10455,"$1 under $25,000",10300
10455,"$25,000 under $50,000",4900
10455,"$50,000 under $75,000",1780
10455,"$75,000 under $100,000",500
10455,"$100,000 under $200,000",300
10455,"$200,000 or more",**
,,
10456,,"40,390"
10456,"$1 under $25,000",24520
10456,"$25,000 under $50,000",10970
10456,"$50,000 under $75,000",3410
10456,"$75,000 under $100,000",960
10456,"$100,000 under $200,000",530
10456,"$200,000 or more",**
,,
10457,,"32,720"
10457,"$1 under $25,000",20000
10457,"$25,000 under $50,000",8480
10457,"$50,000 under $75,000",2830
10457,"$75,000 under $100,000",900
10457,"$100,000 under $200,000",470
10457,"$200,000 or more",40
,,
10458,,"34,320"
10458,"$1 under $25,000",19820
10458,"$25,000 under $50,000",9110
10458,"$50,000 under $75,000",3470
10458,"$75,000 under $100,000",1120
10458,"$100,000 under $200,000",760
10458,"$200,000 or more",40
,,
10459,,"21,280"
10459,"$1 under $25,000",12280
10459,"$25,000 under $50,000",5930
10459,"$50,000 under $75,000",1990
10459,"$75,000 under $100,000",660
10459,"$100,000 under $200,000",420
10459,"$200,000 or more",**
,,
10460,,"25,120"
10460,"$1 under $25,000",14600
10460,"$25,000 under $50,000",6900
10460,"$50,000 under $75,000",2300
10460,"$75,000 under $100,000",800
10460,"$100,000 under $200,000",490
10460,"$200,000 or more",30
,,
10461,,"24,090"
10461,"$1 under $25,000",8580
10461,"$25,000 under $50,000",6210
10461,"$50,000 under $75,000",4160
10461,"$75,000 under $100,000",2280
10461,"$100,000 under $200,000",2530
10461,"$200,000 or more",330
,,
10462,,"39,510"
10462,"$1 under $25,000",16080
10462,"$25,000 under $50,000",10910
10462,"$50,000 under $75,000",6950
10462,"$75,000 under $100,000",3110
10462,"$100,000 under $200,000",2300
10462,"$200,000 or more",160
,,
10463,,"33,940"
10463,"$1 under $25,000",12390
10463,"$25,000 under $50,000",7620
10463,"$50,000 under $75,000",5120
10463,"$75,000 under $100,000",3080
10463,"$100,000 under $200,000",4290
10463,"$200,000 or more",1440
,,
10464,,"2,170"
10464,"$1 under $25,000",560
10464,"$25,000 under $50,000",400
10464,"$50,000 under $75,000",360
10464,"$75,000 under $100,000",270
10464,"$100,000 under $200,000",420
10464,"$200,000 or more",160
,,
10465,,"19,700"
10465,"$1 under $25,000",6210
10465,"$25,000 under $50,000",4410
10465,"$50,000 under $75,000",3330
10465,"$75,000 under $100,000",2180
10465,"$100,000 under $200,000",3050
10465,"$200,000 or more",520
,,
10466,,"32,740"
10466,"$1 under $25,000",14740
10466,"$25,000 under $50,000",9390
10466,"$50,000 under $75,000",4410
10466,"$75,000 under $100,000",2150
10466,"$100,000 under $200,000",1930
10466,"$200,000 or more",120
,,
10467,,"44,640"
10467,"$1 under $25,000",22140
10467,"$25,000 under $50,000",12740
10467,"$50,000 under $75,000",5830
10467,"$75,000 under $100,000",2200
10467,"$100,000 under $200,000",1630
10467,"$200,000 or more",100
,,
10468,,"35,660"
10468,"$1 under $25,000",20220
10468,"$25,000 under $50,000",9370
10468,"$50,000 under $75,000",3790
10468,"$75,000 under $100,000",1350
10468,"$100,000 under $200,000",870
10468,"$200,000 or more",60
,,
10469,,"32,670"
10469,"$1 under $25,000",13400
10469,"$25,000 under $50,000",8810
10469,"$50,000 under $75,000",4920
10469,"$75,000 under $100,000",2570
10469,"$100,000 under $200,000",2670
10469,"$200,000 or more",300
,,
10470,,"7,660"
10470,"$1 under $25,000",2840
10470,"$25,000 under $50,000",1940
10470,"$50,000 under $75,000",1230
10470,"$75,000 under $100,000",670
10470,"$100,000 under $200,000",840
10470,"$200,000 or more",140
,,
10471,,"10,070"
10471,"$1 under $25,000",2360
10471,"$25,000 under $50,000",1650
10471,"$50,000 under $75,000",1640
10471,"$75,000 under $100,000",1230
10471,"$100,000 under $200,000",2100
10471,"$200,000 or more",1090
,,
10472,,"28,880"
10472,"$1 under $25,000",16190
10472,"$25,000 under $50,000",7800
10472,"$50,000 under $75,000",3010
10472,"$75,000 under $100,000",1110
10472,"$100,000 under $200,000",720
10472,"$200,000 or more",50
,,
10473,,"27,910"
10473,"$1 under $25,000",12730
10473,"$25,000 under $50,000",7720
10473,"$50,000 under $75,000",3940
10473,"$75,000 under $100,000",1830
10473,"$100,000 under $200,000",1570
10473,"$200,000 or more",120
,,
10474,,"5,050"
10474,"$1 under $25,000",2940
10474,"$25,000 under $50,000",1410
10474,"$50,000 under $75,000",490
10474,"$75,000 under $100,000",140
10474,"$100,000 under $200,000",70
10474,"$200,000 or more",**
,,
10475,,"22,790"
10475,"$1 under $25,000",7390
10475,"$25,000 under $50,000",6500
10475,"$50,000 under $75,000",4680
10475,"$75,000 under $100,000",2430
10475,"$100,000 under $200,000",1700
10475,"$200,000 or more",90
,,
10501,,700
10501,"$1 under $25,000",190
10501,"$25,000 under $50,000",90
10501,"$50,000 under $75,000",70
10501,"$75,000 under $100,000",60
10501,"$100,000 under $200,000",140
10501,"$200,000 or more",150
,,
10502,,"2,840"
10502,"$1 under $25,000",650
10502,"$25,000 under $50,000",290
10502,"$50,000 under $75,000",240
10502,"$75,000 under $100,000",230
10502,"$100,000 under $200,000",630
10502,"$200,000 or more",800
,,
10504,,"4,710"
10504,"$1 under $25,000",960
10504,"$25,000 under $50,000",380
10504,"$50,000 under $75,000",320
10504,"$75,000 under $100,000",260
10504,"$100,000 under $200,000",720
10504,"$200,000 or more",2070
,,
10505,,670
10505,"$1 under $25,000",210
10505,"$25,000 under $50,000",110
10505,"$50,000 under $75,000",70
10505,"$75,000 under $100,000",40
10505,"$100,000 under $200,000",120
10505,"$200,000 or more",120
,,
10506,,"2,820"
10506,"$1 under $25,000",710
10506,"$25,000 under $50,000",230
10506,"$50,000 under $75,000",200
10506,"$75,000 under $100,000",150
10506,"$100,000 under $200,000",460
10506,"$200,000 or more",1070
,,
10507,,"2,660"
10507,"$1 under $25,000",810
10507,"$25,000 under $50,000",540
10507,"$50,000 under $75,000",320
10507,"$75,000 under $100,000",210
10507,"$100,000 under $200,000",420
