"ZIP
code [1]",Size of adjusted gross income,Number of returns
10464,"$1 under $25,000",600
10464,"$25,000 under $50,000",430
10464,"$50,000 under $75,000",390
10464,"$75,000 under $100,000",250
10464,"$100,000 under $200,000",400
10464,"$200,000 or more",110
,,
10465,,"19,250"
10465,"$1 under $25,000",6470
10465,"$25,000 under $50,000",4560
10465,"$50,000 under $75,000",3190
10465,"$75,000 under $100,000",2110
10465,"$100,000 under $200,000",2610
10465,"$200,000 or more",310
,,
10466,,"31,060"
10466,"$1 under $25,000",14940
10466,"$25,000 under $50,000",9000
10466,"$50,000 under $75,000",3830
10466,"$75,000 under $100,000",1830
10466,"$100,000 under $200,000",1390
10466,"$200,000 or more",70
,,
10467,,"41,710"
10467,"$1 under $25,000",21910
10467,"$25,000 under $50,000",11910
10467,"$50,000 under $75,000",4890
10467,"$75,000 under $100,000",1770
10467,"$100,000 under $200,000",1180
10467,"$200,000 or more",50
,,
10468,,"34,230"
10468,"$1 under $25,000",20900
10468,"$25,000 under $50,000",8660
10468,"$50,000 under $75,000",2990
10468,"$75,000 under $100,000",1040
10468,"$100,000 under $200,000",600
10468,"$200,000 or more",40
,,
10469,,"30,510"
10469,"$1 under $25,000",13260
10469,"$25,000 under $50,000",8340
10469,"$50,000 under $75,000",4320
10469,"$75,000 under $100,000",2270
10469,"$100,000 under $200,000",2110
10469,"$200,000 or more",210
,,
10470,,"7,270"
10470,"$1 under $25,000",2880
10470,"$25,000 under $50,000",1920
10470,"$50,000 under $75,000",1080
10470,"$75,000 under $100,000",660
10470,"$100,000 under $200,000",660
10470,"$200,000 or more",70
,,
10471,,"9,830"
10471,"$1 under $25,000",2490
10471,"$25,000 under $50,000",1770
10471,"$50,000 under $75,000",1590
10471,"$75,000 under $100,000",1280
10471,"$100,000 under $200,000",1820
10471,"$200,000 or more",880
,,
10472,,"26,740"
10472,"$1 under $25,000",16070
10472,"$25,000 under $50,000",6940
10472,"$50,000 under $75,000",2320
10472,"$75,000 under $100,000",870
10472,"$100,000 under $200,000",510
10472,"$200,000 or more",30
,,
10473,,"27,060"
10473,"$1 under $25,000",12810
10473,"$25,000 under $50,000",7700
10473,"$50,000 under $75,000",3600
10473,"$75,000 under $100,000",1670
10473,"$100,000 under $200,000",1210
10473,"$200,000 or more",70
,,
10474,,"4,650"
10474,"$1 under $25,000",2940
10474,"$25,000 under $50,000",1240
10474,"$50,000 under $75,000",340
10474,"$75,000 under $100,000",80
10474,"$100,000 under $200,000",50
10474,"$200,000 or more",**
,,
10475,,"21,530"
10475,"$1 under $25,000",7150
10475,"$25,000 under $50,000",6480
10475,"$50,000 under $75,000",4430
10475,"$75,000 under $100,000",2120
10475,"$100,000 under $200,000",1300
10475,"$200,000 or more",50
,,
10501,,650
10501,"$1 under $25,000",170
10501,"$25,000 under $50,000",90
10501,"$50,000 under $75,000",80
10501,"$75,000 under $100,000",50
10501,"$100,000 under $200,000",140
10501,"$200,000 or more",120
,,
10502,,"2,870"
10502,"$1 under $25,000",740
10502,"$25,000 under $50,000",370
10502,"$50,000 under $75,000",250
10502,"$75,000 under $100,000",260
10502,"$100,000 under $200,000",660
10502,"$200,000 or more",590
,,
10504,,"5,350"
10504,"$1 under $25,000",1070
10504,"$25,000 under $50,000",390
10504,"$50,000 under $75,000",310
10504,"$75,000 under $100,000",280
10504,"$100,000 under $200,000",890
10504,"$200,000 or more",2410
,,
10505,,530
10505,"$1 under $25,000",160
10505,"$25,000 under $50,000",80
10505,"$50,000 under $75,000",40
10505,"$75,000 under $100,000",40
10505,"$100,000 under $200,000",110
10505,"$200,000 or more",100
,,
10506,,"2,780"
10506,"$1 under $25,000",750
10506,"$25,000 under $50,000",270
10506,"$50,000 under $75,000",200
10506,"$75,000 under $100,000",170
10506,"$100,000 under $200,000",440
10506,"$200,000 or more",950
,,
10507,,"2,670"
10507,"$1 under $25,000",900
10507,"$25,000 under $50,000",480
10507,"$50,000 under $75,000",330
10507,"$75,000 under $100,000",250
10507,"$100,000 under $200,000",400
10507,"$200,000 or more",310
,,
10509,,"9,680"
10509,"$1 under $25,000",3100
10509,"$25,000 under $50,000",1670
10509,"$50,000 under $75,000",1230
10509,"$75,000 under $100,000",1040
10509,"$100,000 under $200,000",1960
10509,"$200,000 or more",680
,,
10510,,"4,790"
10510,"$1 under $25,000",1150
10510,"$25,000 under $50,000",490
10510,"$50,000 under $75,000",400
10510,"$75,000 under $100,000",350
10510,"$100,000 under $200,000",1000
10510,"$200,000 or more",1400
,,
10511,,"1,120"
10511,"$1 under $25,000",350
10511,"$25,000 under $50,000",220
10511,"$50,000 under $75,000",160
10511,"$75,000 under $100,000",130
10511,"$100,000 under $200,000",210
10511,"$200,000 or more",50
,,
10512,,"12,220"
10512,"$1 under $25,000",3530
10512,"$25,000 under $50,000",2160
10512,"$50,000 under $75,000",1790
10512,"$75,000 under $100,000",1410
10512,"$100,000 under $200,000",2630
10512,"$200,000 or more",700
,,
10514,,"5,450"
10514,"$1 under $25,000",1350
10514,"$25,000 under $50,000",410
10514,"$50,000 under $75,000",290
10514,"$75,000 under $100,000",250
10514,"$100,000 under $200,000",910
10514,"$200,000 or more",2240
,,
10516,,"2,710"
10516,"$1 under $25,000",760
10516,"$25,000 under $50,000",420
10516,"$50,000 under $75,000",370
10516,"$75,000 under $100,000",290
10516,"$100,000 under $200,000",610
10516,"$200,000 or more",260
,,
10518,,750
10518,"$1 under $25,000",230
10518,"$25,000 under $50,000",80
10518,"$50,000 under $75,000",80
10518,"$75,000 under $100,000",60
10518,"$100,000 under $200,000",140
10518,"$200,000 or more",160
,,
10520,,"6,290"
10520,"$1 under $25,000",1630
10520,"$25,000 under $50,000",960
10520,"$50,000 under $75,000",780
10520,"$75,000 under $100,000",590
10520,"$100,000 under $200,000",1400
10520,"$200,000 or more",930
,,
10522,,"5,190"
10522,"$1 under $25,000",1320
10522,"$25,000 under $50,000",820
10522,"$50,000 under $75,000",700
10522,"$75,000 under $100,000",530
10522,"$100,000 under $200,000",1020
10522,"$200,000 or more",800
,,
10523,,"4,730"
10523,"$1 under $25,000",1630
10523,"$25,000 under $50,000",1040
10523,"$50,000 under $75,000",690
10523,"$75,000 under $100,000",440
10523,"$100,000 under $200,000",740
10523,"$200,000 or more",190
,,
10524,,"2,070"
10524,"$1 under $25,000",550
10524,"$25,000 under $50,000",280
10524,"$50,000 under $75,000",250
10524,"$75,000 under $100,000",240
10524,"$100,000 under $200,000",480
10524,"$200,000 or more",270
,,
10526,,"1,040"
10526,"$1 under $25,000",310
10526,"$25,000 under $50,000",170
10526,"$50,000 under $75,000",90
10526,"$75,000 under $100,000",90
10526,"$100,000 under $200,000",190
10526,"$200,000 or more",190
,,
10527,,450
10527,"$1 under $25,000",100
10527,"$25,000 under $50,000",50
10527,"$50,000 under $75,000",40
10527,"$75,000 under $100,000",40
10527,"$100,000 under $200,000",120
10527,"$200,000 or more",100
,,
10528,,"5,710"
10528,"$1 under $25,000",1590
10528,"$25,000 under $50,000",880
10528,"$50,000 under $75,000",830
10528,"$75,000 under $100,000",530
10528,"$100,000 under $200,000",890
10528,"$200,000 or more",990
,,
10530,,"7,120"
10530,"$1 under $25,000",1540
10530,"$25,000 under $50,000",1100
10530,"$50,000 under $75,000",1130
10530,"$75,000 under $100,000",900
10530,"$100,000 under $200,000",1600
10530,"$200,000 or more",850
,,
10532,,"2,610"
10532,"$1 under $25,000",690
10532,"$25,000 under $50,000",420
10532,"$50,000 under $75,000",360
10532,"$75,000 under $100,000",270
10532,"$100,000 under $200,000",650
10532,"$200,000 or more",220
,,
10533,,"3,790"
10533,"$1 under $25,000",950
10533,"$25,000 under $50,000",420
