"ZIP
code",Size of adjusted gross income,Number of returns
10308,"$50,000 under $75,000",1961
10308,"$75,000 under $100,000",1721
10308,"$100,000 under $200,000",2706
10308,"$200,000 or more",424
,,
10309,,"14,198"
10309,"$1 under $25,000",4116
10309,"$25,000 under $50,000",2559
10309,"$50,000 under $75,000",2015
10309,"$75,000 under $100,000",1800
10309,"$100,000 under $200,000",3023
10309,"$200,000 or more",685
,,
10310,,"10,723"
10310,"$1 under $25,000",4284
10310,"$25,000 under $50,000",2266
10310,"$50,000 under $75,000",1427
10310,"$75,000 under $100,000",986
10310,"$100,000 under $200,000",1489
10310,"$200,000 or more",271
,,
10312,,"28,121"
10312,"$1 under $25,000",8260
10312,"$25,000 under $50,000",5053
10312,"$50,000 under $75,000",4268
10312,"$75,000 under $100,000",3553
10312,"$100,000 under $200,000",5875
10312,"$200,000 or more",1112
,,
10314,,"39,126"
10314,"$1 under $25,000",12822
10314,"$25,000 under $50,000",7943
10314,"$50,000 under $75,000",5928
10314,"$75,000 under $100,000",4559
10314,"$100,000 under $200,000",6727
10314,"$200,000 or more",1147
,,
10451,,"22,106"
10451,"$1 under $25,000",12373
10451,"$25,000 under $50,000",6458
10451,"$50,000 under $75,000",2129
10451,"$75,000 under $100,000",750
10451,"$100,000 under $200,000",364
10451,"$200,000 or more",32
,,
10452,,"35,766"
10452,"$1 under $25,000",21912
10452,"$25,000 under $50,000",10426
10452,"$50,000 under $75,000",2518
10452,"$75,000 under $100,000",633
10452,"$100,000 under $200,000",277
10452,"$200,000 or more",**
,,
10453,,"37,651"
10453,"$1 under $25,000",23901
10453,"$25,000 under $50,000",10478
10453,"$50,000 under $75,000",2324
10453,"$75,000 under $100,000",664
10453,"$100,000 under $200,000",284
10453,"$200,000 or more",**
,,
10454,,"14,648"
10454,"$1 under $25,000",9540
10454,"$25,000 under $50,000",3825
10454,"$50,000 under $75,000",890
10454,"$75,000 under $100,000",238
10454,"$100,000 under $200,000",155
10454,"$200,000 or more",**
,,
10455,,"16,616"
10455,"$1 under $25,000",10216
10455,"$25,000 under $50,000",4839
10455,"$50,000 under $75,000",1100
10455,"$75,000 under $100,000",316
10455,"$100,000 under $200,000",145
10455,"$200,000 or more",**
,,
10456,,"38,524"
10456,"$1 under $25,000",24281
10456,"$25,000 under $50,000",10271
10456,"$50,000 under $75,000",3013
10456,"$75,000 under $100,000",684
10456,"$100,000 under $200,000",275
10456,"$200,000 or more",**
,,
10457,,"31,225"
10457,"$1 under $25,000",19832
10457,"$25,000 under $50,000",8388
10457,"$50,000 under $75,000",2151
10457,"$75,000 under $100,000",571
10457,"$100,000 under $200,000",283
10457,"$200,000 or more",**
,,
10458,,"32,439"
10458,"$1 under $25,000",19479
10458,"$25,000 under $50,000",9099
10458,"$50,000 under $75,000",2575
10458,"$75,000 under $100,000",872
10458,"$100,000 under $200,000",391
10458,"$200,000 or more",23
,,
10459,,"21,249"
10459,"$1 under $25,000",12395
10459,"$25,000 under $50,000",6643
10459,"$50,000 under $75,000",1525
10459,"$75,000 under $100,000",456
10459,"$100,000 under $200,000",230
10459,"$200,000 or more",**
,,
10460,,"23,932"
10460,"$1 under $25,000",14230
10460,"$25,000 under $50,000",6997
10460,"$50,000 under $75,000",1745
10460,"$75,000 under $100,000",639
10460,"$100,000 under $200,000",321
10460,"$200,000 or more",**
,,
10461,,"22,882"
10461,"$1 under $25,000",8722
10461,"$25,000 under $50,000",6425
10461,"$50,000 under $75,000",3672
10461,"$75,000 under $100,000",2038
10461,"$100,000 under $200,000",1832
10461,"$200,000 or more",193
,,
10462,,"37,807"
10462,"$1 under $25,000",16369
10462,"$25,000 under $50,000",11497
10462,"$50,000 under $75,000",5713
10462,"$75,000 under $100,000",2591
10462,"$100,000 under $200,000",1555
10462,"$200,000 or more",82
,,
10463,,"32,634"
10463,"$1 under $25,000",12756
10463,"$25,000 under $50,000",8207
10463,"$50,000 under $75,000",4685
10463,"$75,000 under $100,000",2695
10463,"$100,000 under $200,000",3337
10463,"$200,000 or more",954
,,
10464,,"2,180"
10464,"$1 under $25,000",606
10464,"$25,000 under $50,000",462
10464,"$50,000 under $75,000",372
10464,"$75,000 under $100,000",252
10464,"$100,000 under $200,000",387
10464,"$200,000 or more",101
,,
10465,,"19,311"
10465,"$1 under $25,000",6414
10465,"$25,000 under $50,000",4835
10465,"$50,000 under $75,000",3290
10465,"$75,000 under $100,000",2008
10465,"$100,000 under $200,000",2480
10465,"$200,000 or more",284
,,
10466,,"30,876"
10466,"$1 under $25,000",14910
10466,"$25,000 under $50,000",9095
10466,"$50,000 under $75,000",3741
10466,"$75,000 under $100,000",1767
10466,"$100,000 under $200,000",1300
10466,"$200,000 or more",63
,,
10467,,"42,111"
10467,"$1 under $25,000",21584
10467,"$25,000 under $50,000",12994
10467,"$50,000 under $75,000",4691
10467,"$75,000 under $100,000",1695
10467,"$100,000 under $200,000",1105
10467,"$200,000 or more",42
,,
10468,,"35,898"
10468,"$1 under $25,000",20215
10468,"$25,000 under $50,000",11181
10468,"$50,000 under $75,000",2882
10468,"$75,000 under $100,000",1040
10468,"$100,000 under $200,000",552
